university,endowment,numFaculty,country,numStaff,established,numPostgrad,numUndergrad,numStudents
Idaho State University,,,US,1269,1901,2661,12892,15553
Idaho State University,,,US,1269,1901,2661,12892,15553
Idaho State University,,,US,1269,1947,2661,12892,15553
Idaho State University,,,US,1269,1947,2661,12892,15553
Idaho State University,,,US,1269,1963,2661,12892,15553
Idaho State University,,,US,1269,1963,2661,12892,15553
University of Milan,562000000,4210,Italy,2455,1924,4354,49476,62801
University of Milan,562000000,4210,Italy,2455,1924,4354,49476,65234
University of Milan,562000000,4210,Italy,2455,1924,4354,49476,62801
University of Milan,562000000,4210,Italy,2455,1924,4354,49476,65234
Minnesota State University Moorhead,7180000.0,337,US,789,1887,440,7057,7497
University of Bradford,222.0,615,United Kingdom,,1957,3050,10525,13570
University of Bradford,222.0,615,England,,1957,3050,10525,13570
University of Bradford,222.0,615,United Kingdom,,1966,3050,10525,13570
University of Bradford,222.0,615,England,,1966,3050,10525,13570
University of Amsterdam,660.0,2796,the Netherlands,2294,1632,12554,20185,32739
Regent University,1.86E8,629,US,381,1978,2130,1960,4494
Regent University,1.86E8,629,US,381,1978,2130,1960,4494
Universidade Federal de Santa Maria,21900.0,1728,Brazil,2683,1960,4325,19845,26851
Universidade Federal de Santa Maria,21900.0,1728,Brazil,2683,1960,4325,19845,26851
Universidade Federal de Santa Maria,21900.0,1728,Brazil,2683,1960,4325,19845,26851
University of the Philippines,7920.0,4135,Philippines,6491,18,,,52405
University of the Philippines,7920.0,4571,Philippines,6491,18,,,52405
University of the Philippines,7920.0,4135,Philippines,6491,18,,,"~50,000"
University of the Philippines,7920.0,4571,Philippines,6491,18,,,"~50,000"
University of the Philippines,7920.0,4135,Philippines,213180.0,18,,,52405
University of the Philippines,7920.0,4571,Philippines,213180.0,18,,,52405
University of the Philippines,7920.0,4135,Philippines,213180.0,18,,,"~50,000"
University of the Philippines,7920.0,4571,Philippines,213180.0,18,,,"~50,000"
University of the Philippines,7920.0,4135,Philippines,6491,18,,,52405
University of the Philippines,7920.0,4571,Philippines,6491,18,,,52405
University of the Philippines,7920.0,4135,Philippines,6491,18,,,"~50,000"
University of the Philippines,7920.0,4571,Philippines,6491,18,,,"~50,000"
University of the Philippines,7920.0,4135,Philippines,213180.0,18,,,52405
University of the Philippines,7920.0,4571,Philippines,213180.0,18,,,52405
University of the Philippines,7920.0,4135,Philippines,213180.0,18,,,"~50,000"
University of the Philippines,7920.0,4571,Philippines,213180.0,18,,,"~50,000"
St. Cloud State University,2.1E7,904,US,845,1869,1695,15536,17231
University of North Carolina at Greensboro,1.523E8,,US,2530,1891,3838,14664,18502
University of North Carolina at Greensboro,1.523E8,,US,2530,1891,3838,14664,18502
University of North Carolina at Greensboro,1.523E8,,US,2530,1891,3838,14664,18502
University of North Carolina at Greensboro,1.523E8,,US,2530,1891,3838,14664,18502
University of North Carolina at Greensboro,1.523E8,,US,2530,1891,3838,14664,18502
University of North Carolina at Greensboro,1.523E8,,US,2530,1891,3838,14664,18502
University of North Carolina at Greensboro,1.523E8,,US,2530,1891,3838,14664,18502
University of North Carolina at Greensboro,1.523E8,,US,2530,1891,3838,14664,18502
University of North Carolina at Greensboro,1.523E8,,US,2530,1891,3838,14664,18502
University of North Carolina at Greensboro,1.523E8,,US,2530,1891,3838,14664,18502
University of North Carolina at Greensboro,1.523E8,,US,2530,1891,3838,14664,18502
University of North Carolina at Greensboro,1.523E8,,US,2530,1891,3838,14664,18502
University of North Carolina at Greensboro,1.523E8,,US,2530,1891,3838,14664,18502
University of North Carolina at Greensboro,1.523E8,,US,2530,1891,3838,14664,18502
University of North Carolina at Greensboro,1.523E8,,US,2530,1891,3838,14664,18502
University of North Carolina at Greensboro,1.523E8,,US,2530,1891,3838,14664,18502
University of North Carolina at Greensboro,1.523E8,,US,2530,1891,3838,14664,18502
University of North Carolina at Greensboro,1.523E8,,US,2530,1891,3838,14664,18502
University of North Carolina at Greensboro,1.523E8,,US,2530,1891,3838,14664,18502
University of North Carolina at Greensboro,1.523E8,,US,2530,1891,3838,14664,18502
University of North Carolina at Greensboro,1.523E8,,US,2530,1891,3838,14664,18502
University of North Carolina at Greensboro,1.523E8,,US,2530,1891,3838,14664,18502
University of North Carolina at Greensboro,1.523E8,,US,2530,1891,3838,14664,18502
University of North Carolina at Greensboro,1.523E8,,US,2530,1891,3838,14664,18502
University of North Carolina at Greensboro,1.523E8,,US,2530,1891,3838,14664,18502
